交付物名称,交付物类型,里程碑名称,步骤名称,是否必须
项目启动会汇报材料,里程碑交付物,01项目正式启动,,是
系统部署需求调研结果,步骤交付物,02需求确定,02系统部署需求调研,是
档案业务现状及需求调研报告,步骤交付物,02需求确定,03档案业务现状及需求调研,是
历史数据迁移需求调研报告,步骤交付物,02需求确定,04历史数据迁移需求调研,是
接口需求调研报告,步骤交付物,02需求确定,05接口需求调研,是
个性化功能需求调研报告,步骤交付物,02需求确定,06个性化功能需求调研,是
项目整体需求调研报告,里程碑交付物,02需求确定,,是
系统安装部署文档,步骤交付物,03完成标准产品功能配置,07系统安装部署,是
配置截图,步骤交付物,03完成标准产品功能配置,08系统参数配置,否
配置截图,步骤交付物,03完成标准产品功能配置,09存储配置,是
配置截图,步骤交付物,03完成标准产品功能配置,10导入通用初始化库（不需要导档案门类）,否
配置截图,步骤交付物,03完成标准产品功能配置,11设置全宗,是
配置截图,步骤交付物,03完成标准产品功能配置,12设置门类结构、规则及字典,是
配置截图,步骤交付物,03完成标准产品功能配置,13设置档案门类,是
配置截图,步骤交付物,03完成标准产品功能配置,14关联门类结构并检查门类规则,否
配置截图,步骤交付物,03完成标准产品功能配置,15设置组织机构,是
配置截图,步骤交付物,03完成标准产品功能配置,16设置用户,否
配置截图,步骤交付物,03完成标准产品功能配置,17设置角色权限及用户赋权,是
配置截图,步骤交付物,03完成标准产品功能配置,18设置鉴定、销毁表单及流程（如需要）,否
配置截图,步骤交付物,03完成标准产品功能配置,19设置数据报表,是
配置截图,步骤交付物,03完成标准产品功能配置,20设置档案资源统计、移交接收统计、档案利用统计,是
配置截图,步骤交付物,03完成标准产品功能配置,21配置手动登记借阅模板,是
配置截图,步骤交付物,03完成标准产品功能配置,22配置水印,是
配置截图,步骤交付物,03完成标准产品功能配置,23配置备份策略,是
配置截图,步骤交付物,03完成标准产品功能配置,24配置四性检测（如需要）,否
配置截图,步骤交付物,03完成标准产品功能配置,25完成其他功能设置（如需要，例如发布管理、库房配置、菜单管理）,否
标准产品功能配置报告,里程碑交付物,03完成标准产品功能配置,,是
数据迁移技术方案,步骤交付物,04完成数据迁移,27数据迁移技术方式确定,是
数据迁移核验表,步骤交付物,04完成数据迁移,29数据迁移后核验,是
数据迁移报告,里程碑交付物,04完成数据迁移,,是
接口需求文档（用户签字版）,步骤交付物,05完成接口开发集成,31接口需求及集成方式最终确定,是
接口文档,步骤交付物,05完成接口开发集成,32接口开发,是
接口开发代码或配置文件,步骤交付物,05完成接口开发集成,34接口部署,是
接口集成报告,里程碑交付物,05完成接口开发集成,,是
个性化需求文档（用户签字版）,步骤交付物,06完成个性化功能开发,35个性化需求整体最终确定,是
个性化需求设计方案（用户签字版）,步骤交付物,06完成个性化功能开发,36个性化需求整体设计,是
个性化需求开发代码,步骤交付物,06完成个性化功能开发,39个性化需求部署及用户验证,是
个性化需求开发报告,里程碑交付物,06完成个性化功能开发,,是
产生变动的里程碑交付物,步骤交付物,07完成系统上线前功能调整及其他准备工作,40系统上线前功能调整及其他准备工作,否
用户操作手册及培训材料,步骤交付物,07完成系统上线前功能调整及其他准备工作,41用户培训,是
项目产生的其他材料,里程碑交付物,07完成系统上线前功能调整及其他准备工作,,否
上线试运行申请（用户签字版）,里程碑交付物,08完成系统上线及试运行,,是
试运行报告（如需）,里程碑交付物,09完成项目验收,,否
项目验收报告,里程碑交付物,09完成项目验收,,是
